"brewery_id","beer_name","beer_id","abv","ibu","style","ounces"
26,"Fistful of Hops Green",1996,0.064,75,"American IPA",16
26,"30 Min Coma",1948,NA,NA,"Belgian IPA",16
26,"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16
26,"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16
26,"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16
26,"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16
26,"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16
26,"Bourbon Barrel Cowbell",1347,NA,NA,"American Porter",16
26,"Popcorn Pilsner",1314,0.054,NA,"German Pilsener",16
26,"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16
26,"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16
26,"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16
26,"The Deuce",934,0.07,NA,"American Brown Ale",16
26,"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16
26,"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16
26,"Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16
26,"Indians Victory Lager (2012)",698,0.052,24,"Dortmunder / Export Lager",16
26,"Chaka",660,0.08,NA,"Belgian Strong Pale Ale",16
26,"Isis",651,0.091,91,"American Double / Imperial IPA",16
26,"Wee Muckle (2011)",584,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16
26,"Sun King Oktoberfest (2011)",526,0.055,23,"Märzen / Oktoberfest",16
26,"Johan the Barleywine",394,0.099,60,"English Barleywine",16
26,"Wee Mac Scottish-Style Ale",213,0.054,23,"Scottish Ale",16
26,"Sunlight Cream Ale",55,0.053,20,"Cream Ale",16
26,"Osiris Pale Ale (2010)",54,0.056,50,"American Pale Ale (APA)",16
27,"Blonde Czich",2604,0.049,23,"American Blonde Ale",16
27,"White Reaper",2432,0.07,61,"Belgian IPA",16
27,"Bobblehead",2431,0.051,NA,"American Pale Wheat Ale",16
27,"Lucky Dog",2430,0.052,NA,"American Pale Ale (APA)",16
27,"Voodoo",2429,0.048,NA,"American Porter",16
27,"General George Patton Pilsner",1967,0.054,48,"Czech Pilsener",16
28,"Galaxyfest",2603,0.065,NA,"American IPA",16
28,"Citrafest",2602,0.05,45,"American IPA",16
28,"Barn Yeti",2220,0.09,NA,"Belgian Strong Dark Ale",16
28,"Scarecrow",2219,0.069,65,"American IPA",16
28,"Ironman",2218,0.09,50,"English Strong Ale",16
28,"Honey Kolsch",2217,0.046,15,"Kölsch",16
28,"Copperhead Amber",2216,0.052,18,"Belgian Dark Ale",16
29,"Deduction",2601,0.08,22,"Dubbel",12
30,"Gone A-Rye",2600,0.085,90,"American Double / Imperial IPA",16
30,"Special Release",2210,NA,NA,"",16
30,"Dankosaurus",2052,0.068,70,"American IPA",16
30,"Scruffy's Smoked Alt",1584,0.051,35,"Smoked Beer",16
30,"Elliott's Phoned Home Pale Ale",1182,0.051,36,"American Pale Ale (APA)",16
30,"The Lawn Ranger",1050,0.05,18,"Cream Ale",16
31,"Sex Panther",2599,0.069,20,"American Porter",12
31,"Winter Warmer (Vault Series)",2073,0.095,25,"Winter Warmer",16
31,"Count Hopula (Vault Series)",2063,0.091,99,"American Double / Imperial IPA",16
31,"Oktoberfest",1995,0.055,NA,"Märzen / Oktoberfest",12
31,"SunSpot Golden Ale",1934,0.05,15,"American Blonde Ale",12
31,"I.W.A. (2011)",1329,0.06,NA,"American Pale Wheat Ale",12
31,"Supermonk I.P.A.",1299,0.065,NA,"Belgian IPA",12
31,"Epicenter Amber Ale",1073,0.055,20,"American Amber / Red Ale",12
31,"SanTan HefeWeizen",1072,0.05,15,"Hefeweizen",12
31,"Hop Shock IPA",1071,0.07,85,"American IPA",12
31,"Sex Panther (2014)",852,0.069,20,"American Porter",12
31,"Devil’s Ale",850,0.055,45,"American Pale Ale (APA)",12
31,"Rail Slide Imperial Spiced Ale",839,0.081,NA,"Herbed / Spiced Beer",12
31,"Mr. Pineapple",777,0.05,20,"Fruit / Vegetable Beer",12
31,"American Idiot Ale (2012)",764,0.055,45,"American Pale Ale (APA)",12
31,"Hop Shock IPA (2010)",317,0.07,85,"American IPA",12
31,"SanTan HefeWeizen (2010)",286,0.05,15,"Hefeweizen",12
31,"Devil’s Ale (2010)",285,0.055,45,"American Pale Ale (APA)",12
31,"Epicenter Amber Ale (2010)",124,0.055,20,"American Amber / Red Ale",12
32,"Heavy Lifting",2596,0.062,80,"American IPA",12
33,"Bastian",2595,NA,NA,"American Strong Ale",12
